Input,Output
CN(C)C=O.O=C1COc2cc(Cl)c(C=Cc3ccccc3)nc2N1>CO.CSC,O=Cc1nc2c(cc1Cl)OCC(=O)N2
CC(C)(C)OC(=O)N1CC(=O)C1.COP(=O)(Cc1ccc2nc(Cl)nc(N3CCOCC3)c2n1)OC>C1CCOC1.CC(C)[N-]C(C)C.[Li+],CC(C)(C)OC(=O)N1CC(=Cc2ccc3nc(Cl)nc(N4CCOCC4)c3n2)C1
C#CC(C)(C)O.CCCCc1ccc(Br)cc1>CCN(CC)CC.[Cu]I.c1ccc(P(c2ccccc2)c2ccccc2)cc1,CCCCc1ccc(C#CC(C)(C)O)cc1
Cc1cc(Br)c(N)c(C(=O)O)c1.Cl>CC(=O)O.O.O=N[O-].[Cl-].[Na+],Cc1cc(Br)c(Cl)c(C(=O)O)c1
CC(=O)O[BH-](OC(C)=O)OC(C)=O.CCCNc1ccc(Sc2ccc(C(=O)Nc3ccc(Br)cn3)cc2Nc2ncnc3nc(C(C)C)ccc23)cc1>C=O.CO.ClCCl.[Na+],CCCN(C)c1ccc(Sc2ccc(C(=O)Nc3ccc(Br)cn3)cc2Nc2ncnc3nc(C(C)C)ccc23)cc1
CNC(=O)c1cc(C(C)(C)C)cc(N)c1OC.Nc1ccc(Oc2ccncc2)c2ccccc12.O=C([O-])O>ClCCl.O=C(Cl)Cl.[Na+],CNC(=O)c1cc(C(C)(C)C)cc(NC(=O)Nc2ccc(Oc3ccncc3)c3ccccc23)c1OC
C#CCCN1CCCCC1.COCCNCc1cccc(Br)n1>,COCCNCc1cccc(C#CCCN2CCCCC2)n1
CC1(c2ccc(O)cc2)COc2cc(O)ccc2C1CCCCCCCCCSCCCC(F)(F)C(F)(F)F.CO>C1COCCO1.O,CC1(c2ccc(O)cc2)COc2cc(O)ccc2C1CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F
CC(CSC(=O)c1ccccc1)C(=O)Cl.CC1(C)c2ccccc2NC1C(=O)O>CCN(CC)CC.Cl.ClCCl,CC(CSC(=O)c1ccccc1)C(=O)N1c2ccccc2C(C)(C)C1C(=O)O
C#Cc1cccc(Cl)c1.Cc1nc(I)c(C)n1-c1cnn(C)c(=O)c1>,Cc1nc(C#Cc2cccc(Cl)c2)c(C)n1-c1cnn(C)c(=O)c1
CCN(CC)CC.OCC(c1ccccc1)N1CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1>C1CCOC1.CO.CS(=O)(=O)Cl.CS(=O)(=O)O.N,NCC(c1ccccc1)N1CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1
CC(=O)Nc1ccc(Sc2ccc(C)cc2N)c(F)c1.CCCc1ccc2c(Cl)ccnc2n1>,CCCc1ccc2c(Nc3cc(C)ccc3Sc3ccc(NC(C)=O)cc3F)ccnc2n1
COC(=O)C(C)(C)Cc1ccc2oc(-c3nc(C(C)(C)C)cs3)cc2c1>CO.[Na+].[OH-],CC(C)(Cc1ccc2oc(-c3nc(C(C)(C)C)cs3)cc2c1)C(=O)O
CN(C)CC1Cc2ccccc2N(C(=O)CCc2ccc(Br)cc2)C1.Cc1ccc(S(=O)(=O)O)cc1.O=C([O-])[O-]>CCO.Cc1ccccc1.Cc1ccccc1.O.OBO.[Na+].[Na+].c1ccc(P(c2ccccc2)(c2ccccc2)[Pd](P(c2ccccc2)(c2ccccc2)c2ccccc2)(P(c2ccccc2)(c2ccccc2)c2ccccc2)P(c2ccccc2)(c2ccccc2)c2ccccc2)cc1,Cc1ccc(CCC(=O)N2CC(CN(C)C)Cc3ccccc32)cc1
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)Nc2cnc3[nH]cc(C(=O)CCl)c3c2)c1F.FC1CCCNC1>CCN(C(C)C)C(C)C.CCO,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)Nc2cnc3[nH]cc(C(=O)CN4CCCC(F)C4)c3c2)c1F
C=C(CN)CNc1cc(=O)c2ccccc2[nH]1.O=Cc1ccc(Cl)c(Cl)c1>CC(=O)[O-].Cl.Cl.[BH3-]C#N.[Na+].[Na+],C=C(CNCc1ccc(Cl)c(Cl)c1)CNc1cc(=O)c2ccccc2[nH]1
CCOC(=O)c1cc2ccc(OC3CCN(C(=O)OC(C)(C)C)CC3)cc2s1>C1COCCO1.CCCCCCC.Cl,CCOC(=O)c1cc2ccc(OC3CCNCC3)cc2s1
CC(C)CN(C(=O)c1nc2ccccc2[nH]1)C1CC(C(=O)N2CCOCC2)CN(C(=O)OC(C)(C)C)C1.CCOC(=O)CCBr>CC(=O)N(C)C.O.O=C([O-])[O-].[Cs+].[Cs+],CCOC(=O)CCn1c(C(=O)N(CC(C)C)C2CC(C(=O)N3CCOCC3)CN(C(=O)OC(C)(C)C)C2)nc2ccccc21
CC(C)Oc1ccc2nc(N)sc2n1.O=C(O)C(OC1CCOCC1)c1ccc(S(=O)(=O)C2CC2)cc1>CCN=C=NCCCN(C)C.CN(C)C=O.CN1CCOCC1.On1nnc2ccccc21,CC(C)Oc1ccc2nc(NC(=O)C(OC3CCOCC3)c3ccc(S(=O)(=O)C4CC4)cc3)sc2n1
NCCS.O=C1CCC(=O)O1>CCO.Cl.OCCN(CCO)CCO,O=C(O)CCC(=O)NCCS
COC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C(Br)C(OC)OC)c1CC1CC1>Br.CO.COC=Cc1c(C(F)(F)F)nc(C(F)F)c(C(=O)OC)c1CC1CC1.O=C([O-])[O-].[K+].[K+],COC=C(Br)c1c(C(F)(F)F)nc(C(F)F)c(C(=O)OC)c1CC1CC1
C=CC(=O)OCC.CC1(C)CC(=C(c2ccc(Br)cc2)c2ccc(O)c(F)c2)CC(C)(C)O1>CCN(CC)CC.CCOC(C)=O.CN(C)C=O.Cl[Pd]Cl.O.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,CCOC(=O)C=Cc1ccc(C(=C2CC(C)(C)OC(C)(C)C2)c2ccc(O)c(F)c2)cc1
Cn1ccnc1-c1cc2nccc(Oc3ccc(NC(=O)CC(=O)Nc4ccccc4)cc3F)c2s1.Cn1cncc1-c1cc2nccc(Oc3ccc(N)cc3F)c2s1>,Cn1cncc1-c1cc2nccc(Oc3ccc(NC(=O)CC(=O)Nc4ccccc4)cc3F)c2s1
N#Cc1cc(N)n(-c2cc3c(cc2Cl)C(F)(F)OC3(F)F)n1.O=S([O-])C(F)(F)F>CNC.Cc1ccc(S(=O)(=O)O)cc1.Cc1ccccc1.O.O=S(Cl)Cl.[Na+],N#Cc1nn(-c2cc3c(cc2Cl)C(F)(F)OC3(F)F)c(N)c1S(=O)C(F)(F)F
O=C(O)c1cc(Cl)cc(Cl)c1.O=S(Cl)Cl>ClCCl,O=C(Cl)c1cc(Cl)cc(Cl)c1
CCN1c2ncc(CCOc3ccnc4ccccc34)cc2C(=O)Nc2c(C)ccnc21.O=C(OO)c1cccc(Cl)c1>ClCCl,CCN1c2ncc(CCOc3cc[n+]([O-])c4ccccc34)cc2C(=O)Nc2c(C)ccnc21
COC(=O)NCc1cc(C(C)=NO)ccc1Cl.Fc1ccc(CBr)cc1>CCOC(C)=O.CN(C)C=O.O.[H-].[Na+],COC(=O)NCc1cc(C(C)=NOCc2ccc(F)cc2)ccc1Cl
CC(C)(C)C(=O)Cl.COC(=O)c1cccc(N)c1N>c1ccncc1,COC(=O)c1cccc(NC(=O)C(C)(C)C)c1N
CNC1CCC(Cc2ccccc2)(N(C)C)CC1.O=C(Cl)c1ccccc1>CCN(CC)CC.CN(C)c1ccncc1.ClCCl.O.[K+].[OH-],CN(C(=O)c1ccccc1)C1CCC(Cc2ccccc2)(N(C)C)CC1.Cl
CCC(=O)CC(=O)CC.O=Cc1c(F)cccc1F>C1CCNCC1.CC(=O)O.Cc1ccccc1,CCC(=O)C(=Cc1c(F)cccc1F)C(=O)CC
N#Cc1cccc(F)c1.Oc1cccc(F)c1>CC(C)(C)[O-].CCOC(C)=O.CS(C)=O.O.[K+],N#Cc1cccc(Oc2cccc(F)c2)c1
Cc1c(F)cc(C(=O)NC2CC2)cc1-c1cc2onc(-c3ccncc3)c2cc1F.O=C(OO)c1cccc(Cl)c1>ClC(Cl)Cl,Cc1c(F)cc(C(=O)NC2CC2)cc1-c1cc2onc(-c3cc[n+]([O-])cc3)c2cc1F
COC(=O)c1cc(I)c(OC)c(C(C)(C)C)c1.N#C[Cu]C#N>CN(C)C=O.O=C([O-])[O-].[K+].[K+],COC(=O)c1cc(C#N)c(OC)c(C(C)(C)C)c1
BrC=C1c2ccccc2Oc2ccccc21.CC1(C)OB(c2cccc(NS(C)(=O)=O)c2)OC1(C)C>C1COCCO1.O=C([O-])[O-].[Na+].[Na+].c1ccc(P(c2ccccc2)(c2ccccc2)[Pd](P(c2ccccc2)(c2ccccc2)c2ccccc2)(P(c2ccccc2)(c2ccccc2)c2ccccc2)P(c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CS(=O)(=O)Nc1cccc(C=C2c3ccccc3Oc3ccccc32)c1
CCOC(=O)C(Br)C(Br)C(=O)c1ccc(OC)c(OC)c1>ClCCl,CCOC(=O)C#CC(=O)c1ccc(OC)c(OC)c1
